,precision,recall,f1-score,support
angry,0.6945288753799392,0.47604166666666664,0.5648949320148331,960.0
disgust,0.7,0.6306306306306306,0.6635071090047393,111.0
fear,0.5407098121085595,0.5088408644400786,0.5242914979757085,1018.0
happy,0.8507223113964687,0.8712328767123287,0.8608554412560909,1825.0
neutral,0.5819494584837546,0.662828947368421,0.6197616301422529,1216.0
sad,0.4922096317280453,0.6101843722563652,0.5448843590748726,1139.0
surprise,0.8596491228070176,0.7377666248431619,0.7940580688723835,797.0
accuracy,0.6685536371355788,0.6685536371355788,0.6685536371355788,0.6685536371355788
macro avg,0.6742527445576835,0.642503711845379,0.6531790054772687,7066.0
weighted avg,0.6794333697030134,0.6685536371355788,0.6690993570897187,7066.0
